Frequencia_Hz,Z_Real,Z_Imaginario,Fase_Graus,Magnitude_Ohm
5314.359158053241,1649.5010299798346,-477.1262328094826,-16.132771157663157,1717.1205810715517
5363.63131673924,1645.2876616883907,-478.4260604953702,-16.213673268888282,1713.4360172078714
5413.360302965381,1641.0516356292883,-479.6920221207588,-16.29404763518925,1709.723634652064
5463.550352214876,1636.7934958572832,-480.92363166218337,-16.37387409591943,1705.9837301603582
5514.205739240302,1632.513799693982,-482.12041326899157,-16.453132399241056,1702.2166134431734
5565.330778427646,1628.2131174977076,-483.2819016904306,-16.531802211608333,1698.422607154392
5616.92982416381,1623.8920324174019,-484.4076426972281,-16.609863127495306,1694.6020468688823
5669.007271207434,1619.5511401307012,-485.4971934969855,-16.68729467936274,1690.755281048119
5721.567555063251,1615.191048566325,-486.5501231427144,-16.764076347858335,1686.8826709937402
5774.61515235982,1610.812377610975,-487.5660129338413,-16.840187572243547,1682.9845907889132
5828.154581230846,1606.4157588009546,-488.54445680901665,-16.915607761040434,1679.0614272273851
5882.190401699956,1602.001834998767,-489.48506173006376,-16.99031630289084,1675.113579730133
5936.727216069126,1597.571260054967,-490.387448056418,-17.06429257762044,1671.141460249521
5991.769669310619,1593.1246984555876,-491.2512499094082,-17.137515967499045,1667.1454931609187
6047.322449462643,1588.6628249554797,-492.07611552575287,-17.209965868688794,1663.1261151417348
6103.390288028621,1584.186324197949,-492.8617075996449,-17.281621702870705,1659.083775037851
6159.977960380169,1579.695890321099,-493.6077036128259,-17.352462929040268,1655.0189337174654
6217.090286163827,1575.1922265513049,-494.3137961520568,-17.422469055461956,1650.9320639123569
6274.732129711575,1570.6760447843008,-494.979693213416,-17.491619651772194,1646.8236500466292
6332.908400455115,1566.1480651543675,-495.6051184928719,-17.559894361219904,1642.6941880529994
6391.624053344006,1561.609015592146,-496.18981166260033,-17.62727291303349,1638.5441851767189
6450.884089267693,1557.059631371627,-496.73352863253956,-17.693735134902496,1634.3741597672429
6510.6935554814545,1552.5006546468862,-497.2360417966987,-17.75926096556214,1630.1846410577725
6571.057546036271,1547.9328339791755,-497.69714026376,-17.82383046746812,1625.9761689328436
6631.981202212675,1543.3569238549821,-498.11663007154596,-17.887423839549207,1621.7492936841213
6693.469712958661,1538.7736841957062,-498.4943343849473,-17.950021430024552,1617.5045757546156
6755.5283153316395,1534.1838798596177,-498.8300936769385,-18.01160374927244,1613.242585471526
6818.162294944479,1529.5882801367757,-499.1237658923362,-18.072151482736853,1608.9639027679668
6881.37698641567,1524.9876582376169,-499.3752265939913,-18.131645503858024,1604.669116893838
6945.177773823696,1520.3827907759187,-499.5843690911327,-18.190066887012904,1600.3588261161171
7009.570091165618,1515.7744572468723,-499.75110454962135,-18.247396920451266,1596.033637408879
7074.559422819879,1511.1634395010078,-499.87536208389724,-18.30361711921289,1591.694166133376
7140.151304013403,1506.5505212147232,-499.95708883044693,-18.358709238011166,1587.3410357085113
7206.351321293052,1501.9364873581726,-499.9962500026492,-18.41265528406834,1582.9748772720677
7273.165113001454,1497.322123661284,-499.99282892689024,-18.46543752988746,1578.596329333073
7340.598369757212,1492.7082160786813,-499.9468270598833,-18.51703852594587,1574.2060374157013
7408.6568349395675,1488.0955502542802,-499.8582639871544,-18.567441113295263,1569.8046536951151
7477.346305177588,1483.4849109863292,-499.72717740270093,-18.61662843605308,1565.3928366256782
7546.6726308438865,1478.8770816936794,-499.55362306986075,-18.66458395377005,1560.971250561982
7616.641716552892,1474.2728438840459,-499.33767476346634,-18.711291453658717,1556.540565373141
7687.259521663728,1469.6729766250317,-499.0794241933984,-18.75673506266775,1552.1014560508263
7758.532060787836,1465.078256018664,-498.77898090968307,-18.800899259387087,1547.654602311508
7830.465404301183,1460.4894546802109,-498.43647218931807,-18.843768885768675,1543.200688193416
7903.065678861348,1455.9073412219936,-498.0520429050425,-18.88532915864822,1538.7404016486928
7976.339067929273,1451.3326797429465,-497.62585537630315,-18.925565681052895,1534.2744341312734
8050.291812295981,1446.7662293246196,-497.15808920270115,-18.964464453280666,1529.8034801809868
8124.930210614048,1442.208743534332,-496.64894108023566,-19.002011883736742,1525.3282370044146
8200.26061993413,1437.6609699361488,-496.09862460069195,-19.038194799512993,1520.8494040530268
8276.289456246344,1433.1236496103536,-495.50737003455487,-19.07300045669646,1516.3676825991317
8353.023195026779,1428.5975166820406,-494.87542409785163,-19.106416550393348,1511.8837753101666
8430.468371788967,1424.0832978594651,-494.20304970336366,-19.138431224455083,1507.3983858218753
8508.63158264058,1419.5817119827288,-493.4905256966655,-19.169033080893545,1502.9122183108989
8587.51948484517,1415.093469583388,-492.73814657748284,-19.198211188972714,1498.4259770673239
8667.138797389232,1410.6192724555149,-491.94622220687745,-19.225955093964554,1493.9403660677172
8747.496301554416,1406.1598132387448,-491.1150775007959,-19.25225482555724,1489.4560885491837
8828.59884149515,1401.715775013788,-490.24505211053344,-19.277100905904156,1484.9738465849705
8910.453324821512,1397.2878309108792,-489.336500090692,-19.300484357302892,1480.4943406621444
8993.066723187623,1392.8766437315853,-488.38978955521816,-19.32239670949351,1476.0182692618528
9076.446072885357,1388.482865584391,-487.40530232213416,-19.34283000656607,1471.546328442694
9160.598475443709,1384.1071375344145,-486.38343354757967,-19.36177681346795,1467.079211427673
9245.53109823357,1379.750089267613,-485.32459134980263,-19.379230222101867,1462.6176081952656
9331.25117507825,1375.4123387697714,-484.2291964237409,-19.395183857006153,1458.1622050750439
9417.766006869519,1371.0944920205652,-483.0976816468527,-19.409631880609332,1453.713684348364
9505.082962189512,1366.7971427029304,-481.9304916768564,-19.42256899805181,1449.2727238545517
9593.20947793824,1362.5208719279653,-480.728082542047,-19.433990461567646,1444.8399966030481
9682.153059967077,1358.2662479755352,-479.4909212248627,-19.443892074420603,1440.4161703919478
9771.921283717997,1354.0338260507338,-478.21948523937476,-19.452270194388696,1436.0019074333438
9862.521794868784,1349.8241480563233,-476.9142622033763,-19.459121736792387,1431.5978639858924
9953.962309984234,1345.6377423812255,-475.57574940574403,-19.464444177062312,1427.2046899949835
10046.250617173402,1341.4751237051307,-474.2044533697426,-19.468235552842675,1422.8230287408874
10139.394576752917,1337.3367928192433,-472.8008894129433,-19.470494465627546,1418.4535164952463
10233.402121916422,1333.2232364631595,-471.36558120441583,-19.471220081927644,1414.09678218624
10328.281259410274,1329.1349271778358,-469.8990603198484,-19.470412133966025,1409.7534470727524
10424.040070215558,1325.0723231745887,-468.4018657952426,-19.46807091990157,1405.424124427842
10520.686710236228,1321.0358682200358,-466.8745436798237,-19.46419730358011,1401.1094192318128
10618.229410993847,1317.0259915368474,-465.3176465887858,-19.458792713813455,1396.8099278751358
10716.676480328644,1313.0431077201729,-463.7317332564908,-19.45185914318733,1392.5262378714874
