frequencia,Z_real,Z_imag,fase
88600,1156.0522904480242,-31.079939669780273,-1.54
88800,1156.0522904480242,-31.079939669780273,-1.54
89000,1156.0522904480242,-31.079939669780273,-1.54
89200,1156.0522904480242,-31.079939669780273,-1.54
89400,1186.37489750851,45.57592633915805,2.2
89600,1186.37489750851,45.57592633915805,2.2
89800,1186.37489750851,45.57592633915805,2.2
90000,1186.37489750851,45.57592633915805,2.2
90200,1186.37489750851,45.57592633915805,2.2
90400,1186.37489750851,45.57592633915805,2.2
90600,1186.37489750851,45.57592633915805,2.2
90800,1186.37489750851,45.57592633915805,2.2
91000,1186.37489750851,45.57592633915805,2.2
91200,1186.37489750851,45.57592633915805,2.2
91400,1186.37489750851,45.57592633915805,2.2
91600,1186.37489750851,45.57592633915805,2.2
91800,1186.37489750851,45.57592633915805,2.2
92000,1186.37489750851,45.57592633915805,2.2
92200,1186.37489750851,45.57592633915805,2.2
92400,1186.37489750851,45.57592633915805,2.2
92600,1186.37489750851,45.57592633915805,2.2
92800,1186.37489750851,45.57592633915805,2.2
93000,1132.7975036916682,-101.09948382620392,-5.1
93200,1132.7975036916682,-101.09948382620392,-5.1
93400,1132.7975036916682,-101.09948382620392,-5.1
93600,1132.7975036916682,-101.09948382620392,-5.1
93800,1132.7975036916682,-101.09948382620392,-5.1
94000,1132.7975036916682,-101.09948382620392,-5.1
94200,1160.4452384104004,-31.4007253201042,-1.55
94400,1160.4452384104004,-31.4007253201042,-1.55
94600,1084.4394594288453,-8.138779618199308,-0.43
94800,1160.4452384104004,-31.4007253201042,-1.55
95000,1084.4394594288453,-8.138779618199308,-0.43
95200,1160.4452384104004,-31.4007253201042,-1.55
95400,1328.3219677015588,-81.01095124400692,-3.49
95600,1160.4452384104004,-31.4007253201042,-1.55
95800,1160.4452384104004,-31.4007253201042,-1.55
96000,1084.4394594288453,-8.138779618199308,-0.43
96200,1084.4394594288453,-8.138779618199308,-0.43
96400,1084.4394594288453,-8.138779618199308,-0.43
96600,1160.4452384104004,-31.4007253201042,-1.55
96800,1160.4452384104004,-31.4007253201042,-1.55
97000,1160.4452384104004,-31.4007253201042,-1.55
97200,1160.4452384104004,-31.4007253201042,-1.55
97400,1084.4394594288453,-8.138779618199308,-0.43
97600,1084.4394594288453,-8.138779618199308,-0.43
97800,1084.4394594288453,-8.138779618199308,-0.43
98000,1084.4394594288453,-8.138779618199308,-0.43
98200,1160.4452384104004,-31.4007253201042,-1.55
98400,1084.4394594288453,-8.138779618199308,-0.43
98600,1084.4394594288453,-8.138779618199308,-0.43
98800,1160.4452384104004,-31.4007253201042,-1.55
99000,1084.4394594288453,-8.138779618199308,-0.43
99200,1099.8509751972126,63.802212796580974,3.32
99400,1099.8509751972126,63.802212796580974,3.32
99600,1180.9806399800007,50.73670163134389,2.46
99800,1180.9806399800007,50.73670163134389,2.46
100000,1180.9806399800007,50.73670163134389,2.46
